Disease_name,Gene_name,Gene_ID,Tissue
"Hyperparathyroidism, familial primary",CDC73,ENSG00000134371,Thyroid
Hyperparathyroidism 4,GCM2,ENSG00000124827,Thyroid
"Hypothyroidism, congenital, nongoitrous 4",TSHB,ENSG00000134200,Thyroid
"Hyperparathyroidism, neonatal",CASR,ENSG00000036828,Thyroid
Parathyroid adenoma with cystic changes,CDC73,ENSG00000134371,Thyroid
Hyperparathyroidism-jaw tumor syndrome,CDC73,ENSG00000134371,Thyroid
"Hypothyroidism, congenital, nongoitrous, 6",THRA,ENSG00000126351,Thyroid
"Thyroid carcinoma, follicular, somatic",NRAS,ENSG00000213281,Thyroid
"{Thyroid carcinoma, follicular}",MINPP1,ENSG00000107789,Thyroid
"Thyroid carcinoma, follicular, somatic",HRAS,ENSG00000174775,Thyroid
"{Thyroid cancer, nonmedullary, 2}",SRGAP1,ENSG00000196935,Thyroid
Medullary thyroid carcinoma,RET,ENSG00000165731,Thyroid
"Goiter, multinodular 1, with or without Sertoli-Leydig cell tumors",DICER1,ENSG00000100697,Thyroid
"Atrial septal defect 7, with or without AV conduction defects",NKX2-5,ENSG00000183072,Thyroid
?Cowden syndrome 7,SEC23B,ENSG00000101310,Thyroid
"Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia",PAX8,ENSG00000125618,Thyroid
Noonan syndrome 6,NRAS,ENSG00000213281,Thyroid
Cowden syndrome 6,AKT1,ENSG00000142208,Thyroid
Cowden syndrome 5,PIK3CA,ENSG00000121879,Thyroid
Cowden syndrome 4,KLLN,ENSG00000227268,Thyroid
Cowden syndrome 1,PTEN,ENSG00000171862,Thyroid
Lhermitte-Duclos syndrome,PTEN,ENSG00000171862,Thyroid
"Dyserythropoietic anemia, congenital, type II",SEC23B,ENSG00000101310,Thyroid
Ventricular septal defect 3,NKX2-5,ENSG00000183072,Thyroid
"Hypothyroidism, congenital nongoitrous, 5",NKX2-5,ENSG00000183072,Thyroid
Hypoplastic left heart syndrome 2,NKX2-5,ENSG00000183072,Thyroid
"Hypothyroidism, congenital, nongoitrous, 1",TSHR,ENSG00000165409,Thyroid
Bardet-Biedl syndrome 6,MKKS,ENSG00000125863,Cervix
McKusick-Kaufman syndrome,MKKS,ENSG00000125863,Cervix
Spermatogenic failure 3,SLC26A8,ENSG00000112053,Testis
"Ciliary dyskinesia, primary, 2",DNAAF3,ENSG00000167646,Testis
"Hemochromatosis, type 3",TFR2,ENSG00000106327,Testis
LEOPARD syndrome 3,BRAF,ENSG00000157764,Testis
Noonan syndrome 7,BRAF,ENSG00000157764,Testis
"Ciliary dyskinesia, primary, 3, with or without situs inversus",DNAH5,ENSG00000039139,Testis
Spermatogenic failure 19,CFAP43,ENSG00000197748,Testis
46XY sex reversal 6,MAP3K1,ENSG00000095015,Testis
Meier-Gorlin syndrome 2,ORC4,ENSG00000115947,Testis
"Opitz GBBB syndrome, type II",SPECC1L,ENSG00000100014,Testis
"Ciliary dyskinesia, primary, 13",DNAAF1,ENSG00000154099,Testis
"Ciliary dyskinesia, primary, 16",DNAL1,ENSG00000119661,Testis
Cardiofaciocutaneous syndrome,BRAF,ENSG00000157764,Testis
"Spermatogenic failure, X-linked, 2",TEX11,ENSG00000120498,Testis
Marinesco-Sjogren syndrome,SIL1,ENSG00000120725,Testis
Hypogonadotropic hypogonadism 7 without anosmia,GNRHR,ENSG00000109163,Testis
"{Dyslexia, susceptibility to, 1}",DNAAF4,ENSG00000256061,Testis
"Ciliary dyskinesia, primary, 19",DNAAF11,,Testis
Spermatogenic failure 16,SUN5,ENSG00000167098,Testis
Carpenter syndrome 2,MEGF8,ENSG00000105429,Testis
Noonan syndrome 6,NRAS,ENSG00000213281,Testis
"Ciliary dyskinesia, primary, 15",CCDC40,ENSG00000141519,Testis
"Ciliary dyskinesia, primary, 1, with or without situs inversus",DNAI1,ENSG00000122735,Testis
"Ciliary dyskinesia, primary, 10",DNAAF2,ENSG00000165506,Testis
"Robinow syndrome, autosomal dominant 3",DVL3,ENSG00000161202,Testis
Hypogonadotropic hypogonadism 6 with or without anosmia,FGF8,ENSG00000107831,Testis
"Congenital bilateral absence of vas deferens, X-linked",ADGRG2,ENSG00000173698,Testis
"Ciliary dyskinesia, primary, 5",HYDIN,ENSG00000157423,Testis
Neu-Laxova syndrome 1,PHGDH,ENSG00000092621,Testis
Congenital bilateral absence of vas deferens,CFTR,ENSG00000001626,Testis
"Ciliary dyskinesia, primary, 25",DNAAF4,ENSG00000256061,Testis
